datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered
2011-02-08 00:00:00,1,0,1,2,11.48,15.91,87,0.0,4,6
2011-02-08 01:00:00,1,0,1,2,11.48,15.91,87,0.0,0,4
2011-02-08 02:00:00,1,0,1,2,10.66,13.635,93,7.0015,1,1
2011-02-08 03:00:00,1,0,1,3,11.48,13.635,93,11.0014,0,1
2011-02-08 04:00:00,1,0,1,1,10.66,12.88,93,11.0014,0,3
2011-02-08 05:00:00,1,0,1,1,10.66,11.365,81,22.0028,0,2
2011-02-08 06:00:00,1,0,1,1,10.66,11.365,70,22.0028,0,39
2011-02-08 07:00:00,1,0,1,1,9.84,9.85,65,27.9993,3,97
2011-02-08 08:00:00,1,0,1,1,9.84,9.85,56,32.9975,7,236
2011-02-08 09:00:00,1,0,1,1,9.84,9.85,52,32.9975,7,128
2011-02-08 10:00:00,1,0,1,1,9.02,9.09,47,36.9974,4,44
2011-02-08 11:00:00,1,0,1,1,9.02,9.09,47,31.0009,1,49
2011-02-08 12:00:00,1,0,1,1,9.84,9.85,38,32.9975,2,63
2011-02-08 13:00:00,1,0,1,2,9.84,9.85,32,30.0026,2,48
2011-02-08 14:00:00,1,0,1,1,9.02,9.85,37,27.9993,3,61
2011-02-08 15:00:00,1,0,1,1,9.02,9.85,35,26.0027,6,45
2011-02-08 16:00:00,1,0,1,1,9.02,9.09,35,35.0008,4,79
2011-02-08 17:00:00,1,0,1,1,9.02,9.09,32,39.0007,4,172
2011-02-08 18:00:00,1,0,1,1,8.2,9.09,32,26.0027,1,151
2011-02-08 19:00:00,1,0,1,1,6.56,6.06,40,31.0009,1,100
2011-02-08 20:00:00,1,0,1,1,6.56,6.82,40,22.0028,3,53
2011-02-08 21:00:00,1,0,1,1,5.74,5.305,33,31.0009,8,46
2011-02-08 22:00:00,1,0,1,1,4.92,5.305,33,23.9994,0,29
2011-02-08 23:00:00,1,0,1,1,4.92,5.305,33,22.0028,3,9
2011-02-09 00:00:00,1,0,1,1,4.1,3.79,36,23.9994,0,17
2011-02-09 01:00:00,1,0,1,1,4.1,5.305,36,15.0013,0,7
2011-02-09 02:00:00,1,0,1,1,3.28,3.79,38,19.0012,1,2
2011-02-09 03:00:00,1,0,1,1,2.46,3.79,45,8.9981,0,2
2011-02-09 05:00:00,1,0,1,1,2.46,5.305,45,7.0015,0,7
2011-02-09 06:00:00,1,0,1,1,2.46,7.575,45,0.0,0,43
2011-02-09 07:00:00,1,0,1,1,2.46,5.305,49,7.0015,4,95
2011-02-09 08:00:00,1,0,1,1,4.1,6.82,42,0.0,1,198
2011-02-09 09:00:00,1,0,1,1,4.92,6.82,39,11.0014,4,119
2011-02-09 10:00:00,1,0,1,1,5.74,9.09,36,0.0,8,51
2011-02-09 11:00:00,1,0,1,2,5.74,7.575,43,11.0014,1,40
2011-02-09 12:00:00,1,0,1,2,7.38,9.09,40,15.0013,4,57
2011-02-09 13:00:00,1,0,1,1,7.38,8.335,40,16.9979,2,67
2011-02-09 14:00:00,1,0,1,1,8.2,9.09,34,19.9995,2,56
2011-02-09 15:00:00,1,0,1,2,8.2,9.09,34,19.0012,3,61
2011-02-09 16:00:00,1,0,1,2,8.2,9.85,37,16.9979,7,72
2011-02-09 17:00:00,1,0,1,2,8.2,9.85,34,16.9979,9,157
2011-02-09 18:00:00,1,0,1,2,7.38,8.335,47,19.9995,2,168
2011-02-09 19:00:00,1,0,1,3,5.74,6.06,86,16.9979,1,87
2011-02-09 20:00:00,1,0,1,3,5.74,7.575,86,11.0014,0,84
2011-02-09 21:00:00,1,0,1,2,5.74,7.575,86,11.0014,0,83
2011-02-09 22:00:00,1,0,1,3,6.56,8.335,80,11.0014,4,42
2011-02-09 23:00:00,1,0,1,3,6.56,7.575,80,12.998,0,37
2011-02-10 00:00:00,1,0,1,3,5.74,6.82,86,12.998,0,16
2011-02-10 01:00:00,1,0,1,3,5.74,7.575,80,8.9981,0,7
2011-02-10 02:00:00,1,0,1,3,5.74,7.575,80,8.9981,0,3
2011-02-10 04:00:00,1,0,1,2,5.74,6.82,59,15.0013,0,1
2011-02-10 05:00:00,1,0,1,2,4.92,6.06,50,15.0013,0,6
