datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered
2011-02-15 00:00:00,1,0,1,1,12.3,13.635,49,27.9993,7,12
2011-02-15 01:00:00,1,0,1,1,12.3,12.12,42,51.9987,0,5
2011-02-15 02:00:00,1,0,1,1,11.48,11.365,41,46.0022,1,2
2011-02-15 04:00:00,1,0,1,1,9.02,9.09,37,35.0008,0,1
2011-02-15 05:00:00,1,0,1,1,9.02,9.09,32,31.0009,0,4
2011-02-15 06:00:00,1,0,1,1,8.2,9.09,32,22.0028,0,30
2011-02-15 07:00:00,1,0,1,1,8.2,9.09,32,23.9994,2,103
2011-02-15 08:00:00,1,0,1,1,8.2,9.09,32,23.9994,10,213
2011-02-15 09:00:00,1,0,1,1,9.02,9.85,29,30.0026,2,108
2011-02-15 10:00:00,1,0,1,1,9.84,10.605,27,19.0012,5,47
2011-02-15 11:00:00,1,0,1,1,10.66,12.12,25,16.9979,11,46
2011-02-15 12:00:00,1,0,1,1,11.48,13.635,24,16.9979,6,65
2011-02-15 13:00:00,1,0,1,1,13.12,15.15,21,15.0013,14,68
2011-02-15 14:00:00,1,0,1,1,13.94,15.91,19,15.0013,10,69
2011-02-15 15:00:00,1,0,1,1,13.94,16.665,19,11.0014,11,74
2011-02-15 16:00:00,1,0,1,1,13.94,15.91,19,16.9979,21,77
2011-02-15 17:00:00,1,0,1,1,13.12,15.15,22,15.0013,15,191
2011-02-15 18:00:00,1,0,1,1,12.3,15.15,22,8.9981,14,198
2011-02-15 19:00:00,1,0,1,1,11.48,14.395,26,8.9981,3,142
2011-02-15 20:00:00,1,0,1,1,10.66,13.635,33,7.0015,3,98
2011-02-15 21:00:00,1,0,1,1,9.84,14.395,52,0.0,5,61
2011-02-15 22:00:00,1,0,1,1,9.84,14.395,44,0.0,0,41
2011-02-15 23:00:00,1,0,1,2,9.02,12.88,44,6.0032,0,20
2011-02-16 00:00:00,1,0,1,1,9.02,12.88,41,6.0032,0,15
2011-02-16 01:00:00,1,0,1,1,8.2,11.365,44,6.0032,0,9
2011-02-16 03:00:00,1,0,1,2,8.2,9.85,47,12.998,0,1
2011-02-16 04:00:00,1,0,1,1,8.2,9.85,51,12.998,0,1
